Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	29.33059251676337	30.0	29.0	30.0	29.0	30.0	RMNISTHS_30xdownsample
2	29.05909009807332	29.0	29.0	30.0	28.0	30.0	RMNISTHS_30xdownsample
3	26.876017838399807	27.0	27.0	28.0	26.0	28.0	RMNISTHS_30xdownsample
4	29.24546918001772	30.0	29.0	30.0	29.0	30.0	RMNISTHS_30xdownsample
5	30.124744101296912	31.0	30.0	31.0	29.0	31.0	RMNISTHS_30xdownsample
6	30.082379197571044	31.0	30.0	31.0	29.0	31.0	RMNISTHS_30xdownsample
7	30.213255896709526	31.0	30.0	31.0	29.0	32.0	RMNISTHS_30xdownsample
8	29.99546952889121	31.0	30.0	31.0	29.0	31.0	RMNISTHS_30xdownsample
9	29.761361463833282	31.0	30.0	31.0	28.0	32.0	RMNISTHS_30xdownsample
10	29.199778874015806	29.8	29.4	30.2	28.4	30.8	RMNISTHS_30xdownsample
11	29.199778874015806	29.8	29.4	30.2	28.4	30.8	RMNISTHS_30xdownsample
12	29.199778874015806	29.8	29.4	30.2	28.4	30.8	RMNISTHS_30xdownsample
13	29.199778874015806	29.8	29.4	30.2	28.4	30.8	RMNISTHS_30xdownsample
15	27.894780693141847	28.0	28.0	29.0	27.0	29.8	RMNISTHS_30xdownsample
16	27.894780693141847	28.0	28.0	29.0	27.0	29.8	RMNISTHS_30xdownsample
17	27.894780693141847	28.0	28.0	29.0	27.0	29.8	RMNISTHS_30xdownsample
18	27.894780693141847	28.0	28.0	29.0	27.0	29.8	RMNISTHS_30xdownsample
20	27.67977408946512	28.0	27.4	29.0	27.0	29.0	RMNISTHS_30xdownsample
21	27.67977408946512	28.0	27.4	29.0	27.0	29.0	RMNISTHS_30xdownsample
22	27.67977408946512	28.0	27.4	29.0	27.0	29.0	RMNISTHS_30xdownsample
23	27.67977408946512	28.0	27.4	29.0	27.0	29.0	RMNISTHS_30xdownsample
25	27.58637423758683	28.0	27.8	28.8	26.8	29.0	RMNISTHS_30xdownsample
26	27.58637423758683	28.0	27.8	28.8	26.8	29.0	RMNISTHS_30xdownsample
27	27.58637423758683	28.0	27.8	28.8	26.8	29.0	RMNISTHS_30xdownsample
28	27.58637423758683	28.0	27.8	28.8	26.8	29.0	RMNISTHS_30xdownsample
30	27.60725771733675	28.0	27.8	28.8	27.0	29.0	RMNISTHS_30xdownsample
31	27.60725771733675	28.0	27.8	28.8	27.0	29.0	RMNISTHS_30xdownsample
32	27.60725771733675	28.0	27.8	28.8	27.0	29.0	RMNISTHS_30xdownsample
33	27.60725771733675	28.0	27.8	28.8	27.0	29.0	RMNISTHS_30xdownsample
35	27.75746193549869	28.0	28.0	29.0	27.0	29.0	RMNISTHS_30xdownsample
36	27.75746193549869	28.0	28.0	29.0	27.0	29.0	RMNISTHS_30xdownsample
37	27.75746193549869	28.0	28.0	29.0	27.0	29.0	RMNISTHS_30xdownsample
38	27.75746193549869	28.0	28.0	29.0	27.0	29.0	RMNISTHS_30xdownsample
