##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	RMNISTHS_30xdownsample
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10032290
Sequences flagged as poor quality	0
Sequence length	30-148
%GC	39
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.33059251676337	30.0	29.0	30.0	29.0	30.0
2	29.05909009807332	29.0	29.0	30.0	28.0	30.0
3	26.876017838399807	27.0	27.0	28.0	26.0	28.0
4	29.24546918001772	30.0	29.0	30.0	29.0	30.0
5	30.124744101296912	31.0	30.0	31.0	29.0	31.0
6	30.082379197571044	31.0	30.0	31.0	29.0	31.0
7	30.213255896709526	31.0	30.0	31.0	29.0	32.0
8	29.99546952889121	31.0	30.0	31.0	29.0	31.0
9	29.761361463833282	31.0	30.0	31.0	28.0	32.0
10-14	29.199778874015806	29.8	29.4	30.2	28.4	30.8
15-19	27.894780693141847	28.0	28.0	29.0	27.0	29.8
20-24	27.67977408946512	28.0	27.4	29.0	27.0	29.0
25-29	27.58637423758683	28.0	27.8	28.8	26.8	29.0
30-34	27.60725771733675	28.0	27.8	28.8	27.0	29.0
35-39	27.75746193549869	28.0	28.0	29.0	27.0	29.0
40-44	27.75821177319323	28.0	28.0	29.0	27.0	29.2
45-49	27.86369731177718	28.0	28.0	29.0	27.0	30.0
50-54	27.903427730136762	28.2	28.0	29.0	27.0	30.0
55-59	27.87954444955634	28.6	28.0	29.0	27.0	30.0
60-64	27.886963845343086	28.6	28.0	29.0	27.0	30.0
65-69	28.014113279748365	29.0	28.0	29.2	27.0	30.0
70-74	28.086578823603094	29.0	28.0	29.2	27.0	30.0
75-79	28.500207182614798	29.2	28.2	30.0	27.0	30.4
80-84	28.837943494082175	30.0	28.8	30.4	26.8	31.0
85-89	29.244664407577762	30.0	29.2	31.0	26.6	31.6
90-94	29.565413237968936	30.8	29.8	31.0	27.0	32.0
95-99	29.69769433858296	31.0	30.0	31.0	27.2	32.0
100-104	29.80150573556049	30.8	30.0	31.6	27.4	32.0
105-109	30.01490453176922	31.0	30.0	32.0	27.8	32.0
110-114	30.247926424976537	31.4	30.2	32.0	28.0	32.4
115-119	30.39881221509961	32.0	31.0	32.0	28.0	33.0
120-124	30.48113026486185	32.0	31.0	32.0	28.0	33.0
125-129	30.56540738720246	32.0	31.0	32.2	28.0	33.0
130-134	30.964058906681014	32.4	31.0	33.0	28.0	33.4
135-139	31.248891352193613	33.0	32.0	33.0	28.0	34.0
140-144	31.338552937239825	33.0	31.8	33.0	28.0	34.0
145-148	28.799839441092715	30.25	29.25	30.25	26.5	31.25
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.0378903531362198
1101	2	0.019921428346965087
1101	3	0.009353857057217141
1101	4	0.015804090419131
1101	5	0.03372037713193876
1101	6	0.04364290448043917
1101	7	0.06058739070110519
1101	8	0.061302600703623256
1101	9	0.15358620716345683
1101	10-14	0.06975137968588996
1101	15-19	0.02533110242904968
1101	20-24	0.013948991397889188
1101	25-29	0.04039896937815257
1101	30-34	0.04331924913848084
1101	35-39	0.03533568845659474
1101	40-44	0.04016623152750043
1101	45-49	0.030514749136010266
1101	50-54	0.045147399674728916
1101	55-59	0.03915939885965258
1101	60-64	0.03782860898662932
1101	65-69	0.040618733549770525
1101	70-74	0.045197320379926964
1101	75-79	0.055279809260362356
1101	80-84	0.07445625199710904
1101	85-89	0.09371981932638818
1101	90-94	0.10910687245819872
1101	95-99	0.12438901519835355
1101	100-104	0.08204494880597935
1101	105-109	0.10675574277933819
1101	110-114	0.11170586326978338
1101	115-119	0.11483395300600918
1101	120-124	0.11015447305728898
1101	125-129	0.0965197062650347
1101	130-134	0.09899544616282796
1101	135-139	0.10774109642963481
1101	140-144	0.10936132180615488
1101	145-148	0.029206941626743088
1102	1	0.02149280613585347
1102	2	0.048069845061466054
1102	3	0.006659519538789738
1102	4	-0.007407464954166443
1102	5	0.040658470420865456
1102	6	0.0442633149758791
1102	7	0.07932156512077881
1102	8	0.05032963026688719
1102	9	0.1528953926801151
1102	10-14	0.06377901352343684
1102	15-19	0.01851215131682693
1102	20-24	0.012719914107695018
1102	25-29	0.02362152347313895
1102	30-34	0.03471314800678016
1102	35-39	0.012054384308573418
1102	40-44	0.022955187458187254
1102	45-49	0.03697039777432565
1102	50-54	0.01594963970882901
1102	55-59	0.04278168737053534
1102	60-64	0.023166073976526036
1102	65-69	0.03508169452245724
1102	70-74	0.04043916433367656
1102	75-79	0.06335326518398432
1102	80-84	0.08914456389118186
1102	85-89	0.10512105091567392
1102	90-94	0.10500900080579356
1102	95-99	0.12149989515186022
1102	100-104	0.11115046899073278
1102	105-109	0.1134445656076224
1102	110-114	0.12172529918469976
1102	115-119	0.08226260823312259
1102	120-124	0.09829932123042795
1102	125-129	0.12885685188245333
1102	130-134	0.11948572743765595
1102	135-139	0.09926093244693135
1102	140-144	0.06538327347322692
1102	145-148	0.028242365243219325
1103	1	0.047570262506472005
1103	2	0.020940559990499708
1103	3	0.006951092444523965
1103	4	0.001961817796281906
1103	5	0.04593403183675804
1103	6	0.05044964052385836
1103	7	0.02983932231124342
1103	8	0.014273781906183558
1103	9	0.09734142598811246
1103	10-14	0.047062576373971154
1103	15-19	0.020975435958540345
1103	20-24	0.02829126510464164
1103	25-29	0.03846308292451184
1103	30-34	0.03668897685086847
1103	35-39	0.04349849437459952
1103	40-44	0.048243080459734244
1103	45-49	0.06619640864589371
1103	50-54	0.07762980673913944
1103	55-59	0.06981428156092306
1103	60-64	0.05099258846594168
1103	65-69	0.06796010039104416
1103	70-74	0.06444945665580448
1103	75-79	0.07700865383292665
1103	80-84	0.10323549074675498
1103	85-89	0.10197474783370453
1103	90-94	0.08483980413242165
1103	95-99	0.0979161224805658
1103	100-104	0.0961087308889681
1103	105-109	0.08569332834293775
1103	110-114	0.08199185835367828
1103	115-119	0.09519850451417966
1103	120-124	0.1041510019074785
1103	125-129	0.07856493423338407
1103	130-134	0.10008126159514319
1103	135-139	0.12187940052904267
1103	140-144	0.10021249967724088
1103	145-148	0.031141042821911213
1104	1	0.012262852713938344
1104	2	0.02559604915253999
1104	3	-0.001246257435585818
1104	4	0.004916182949294523
