GC_Content	Count	sample
0	5374.0	RMNISTHS_30xdownsample
1	4042.5	RMNISTHS_30xdownsample
2	2661.0	RMNISTHS_30xdownsample
3	2621.5	RMNISTHS_30xdownsample
4	2704.0	RMNISTHS_30xdownsample
5	2705.0	RMNISTHS_30xdownsample
6	2658.5	RMNISTHS_30xdownsample
7	2720.0	RMNISTHS_30xdownsample
8	2813.0	RMNISTHS_30xdownsample
9	2933.0	RMNISTHS_30xdownsample
10	3135.0	RMNISTHS_30xdownsample
11	3376.0	RMNISTHS_30xdownsample
12	3748.0	RMNISTHS_30xdownsample
13	4250.0	RMNISTHS_30xdownsample
14	5114.5	RMNISTHS_30xdownsample
15	6756.5	RMNISTHS_30xdownsample
16	9091.5	RMNISTHS_30xdownsample
17	12962.0	RMNISTHS_30xdownsample
18	19207.5	RMNISTHS_30xdownsample
19	27794.0	RMNISTHS_30xdownsample
20	39467.0	RMNISTHS_30xdownsample
21	54168.0	RMNISTHS_30xdownsample
22	71488.0	RMNISTHS_30xdownsample
23	91669.0	RMNISTHS_30xdownsample
24	114436.0	RMNISTHS_30xdownsample
25	140540.5	RMNISTHS_30xdownsample
26	169192.5	RMNISTHS_30xdownsample
27	197744.0	RMNISTHS_30xdownsample
28	227458.5	RMNISTHS_30xdownsample
29	257431.0	RMNISTHS_30xdownsample
30	285279.0	RMNISTHS_30xdownsample
31	312273.5	RMNISTHS_30xdownsample
32	336783.0	RMNISTHS_30xdownsample
33	359209.5	RMNISTHS_30xdownsample
34	379434.0	RMNISTHS_30xdownsample
35	396974.0	RMNISTHS_30xdownsample
36	412163.5	RMNISTHS_30xdownsample
37	422010.5	RMNISTHS_30xdownsample
38	424954.0	RMNISTHS_30xdownsample
39	419388.5	RMNISTHS_30xdownsample
40	405295.5	RMNISTHS_30xdownsample
41	383211.0	RMNISTHS_30xdownsample
42	355681.0	RMNISTHS_30xdownsample
43	327105.5	RMNISTHS_30xdownsample
44	299491.5	RMNISTHS_30xdownsample
45	275843.0	RMNISTHS_30xdownsample
46	256995.0	RMNISTHS_30xdownsample
47	241486.0	RMNISTHS_30xdownsample
48	229237.0	RMNISTHS_30xdownsample
49	217947.0	RMNISTHS_30xdownsample
50	204723.0	RMNISTHS_30xdownsample
51	189805.5	RMNISTHS_30xdownsample
52	174097.0	RMNISTHS_30xdownsample
53	159768.5	RMNISTHS_30xdownsample
54	147100.0	RMNISTHS_30xdownsample
55	134703.0	RMNISTHS_30xdownsample
56	123879.0	RMNISTHS_30xdownsample
57	113693.0	RMNISTHS_30xdownsample
58	102209.0	RMNISTHS_30xdownsample
59	89333.5	RMNISTHS_30xdownsample
60	75951.5	RMNISTHS_30xdownsample
61	63337.0	RMNISTHS_30xdownsample
62	52208.5	RMNISTHS_30xdownsample
63	42953.5	RMNISTHS_30xdownsample
64	35314.0	RMNISTHS_30xdownsample
65	28938.0	RMNISTHS_30xdownsample
66	23964.5	RMNISTHS_30xdownsample
67	19771.0	RMNISTHS_30xdownsample
68	16009.0	RMNISTHS_30xdownsample
69	13037.5	RMNISTHS_30xdownsample
70	10622.0	RMNISTHS_30xdownsample
71	8699.0	RMNISTHS_30xdownsample
72	7182.5	RMNISTHS_30xdownsample
73	5888.0	RMNISTHS_30xdownsample
74	4883.5	RMNISTHS_30xdownsample
75	4114.0	RMNISTHS_30xdownsample
76	3580.5	RMNISTHS_30xdownsample
77	3152.5	RMNISTHS_30xdownsample
78	2811.5	RMNISTHS_30xdownsample
79	2531.5	RMNISTHS_30xdownsample
80	2187.0	RMNISTHS_30xdownsample
81	1891.5	RMNISTHS_30xdownsample
82	1636.0	RMNISTHS_30xdownsample
83	1402.5	RMNISTHS_30xdownsample
84	1190.0	RMNISTHS_30xdownsample
85	1009.5	RMNISTHS_30xdownsample
86	805.5	RMNISTHS_30xdownsample
87	616.0	RMNISTHS_30xdownsample
88	487.5	RMNISTHS_30xdownsample
89	394.5	RMNISTHS_30xdownsample
90	357.5	RMNISTHS_30xdownsample
91	344.0	RMNISTHS_30xdownsample
92	353.0	RMNISTHS_30xdownsample
93	390.0	RMNISTHS_30xdownsample
94	426.0	RMNISTHS_30xdownsample
95	468.5	RMNISTHS_30xdownsample
96	530.0	RMNISTHS_30xdownsample
97	556.0	RMNISTHS_30xdownsample
98	538.5	RMNISTHS_30xdownsample
99	486.5	RMNISTHS_30xdownsample
100	451.5	RMNISTHS_30xdownsample
