Quality	Count	sample
2	3017.0	RMNISTHS_30xdownsample
3	249.0	RMNISTHS_30xdownsample
4	189.0	RMNISTHS_30xdownsample
5	172.0	RMNISTHS_30xdownsample
6	212.0	RMNISTHS_30xdownsample
7	329.0	RMNISTHS_30xdownsample
8	567.0	RMNISTHS_30xdownsample
9	1117.0	RMNISTHS_30xdownsample
10	2079.0	RMNISTHS_30xdownsample
11	3745.0	RMNISTHS_30xdownsample
12	6492.0	RMNISTHS_30xdownsample
13	11644.0	RMNISTHS_30xdownsample
14	20348.0	RMNISTHS_30xdownsample
15	28202.0	RMNISTHS_30xdownsample
16	32067.0	RMNISTHS_30xdownsample
17	34689.0	RMNISTHS_30xdownsample
18	37562.0	RMNISTHS_30xdownsample
19	40919.0	RMNISTHS_30xdownsample
20	46886.0	RMNISTHS_30xdownsample
21	53935.0	RMNISTHS_30xdownsample
22	63988.0	RMNISTHS_30xdownsample
23	78264.0	RMNISTHS_30xdownsample
24	99916.0	RMNISTHS_30xdownsample
25	136821.0	RMNISTHS_30xdownsample
26	201870.0	RMNISTHS_30xdownsample
27	337456.0	RMNISTHS_30xdownsample
28	753576.0	RMNISTHS_30xdownsample
29	5132903.0	RMNISTHS_30xdownsample
30	2903076.0	RMNISTHS_30xdownsample
